id,name,contact,email
sup-001,TechCorp Solutions,John Smith,john@techcorp.com
sup-002,Global Electronics,Sarah Johnson,sarah@globalelec.com
sup-003,Office Supplies Plus,Mike Wilson,mike@officesupplies.com
sup-004,Digital Dynamics,Lisa Chen,lisa@digitaldynamics.com
sup-005,Hardware Haven,Robert Davis,robert@hardwarehaven.com
sup-006,Component Central,Maria Garcia,maria@componentcentral.com
sup-007,Tech Innovations,David Brown,david@techinnovations.com
sup-008,Electronic Essentials,Jennifer Wilson,jennifer@electronicessentials.com
sup-009,Supply Chain Solutions,Michael Johnson,michael@supplychainsolutions.com
sup-010,Industrial Imports,Amanda Rodriguez,amanda@industrialimports.com
sup-011,Quality Components,James Anderson,james@qualitycomponents.com
sup-012,Precision Parts,Emily Taylor,emily@precisionparts.com
sup-013,Advanced Materials,Christopher Thomas,chris@advancedmaterials.com
sup-014,Modern Manufacturing,Jessica Martinez,jessica@modernmanufacturing.com
sup-015,Global Gadgets,Daniel Hernandez,daniel@globalgadgets.com
sup-016,Tech Traders,Ashley Moore,ashley@techtraders.com
sup-017,Component Kings,Matthew Jackson,matthew@componentkings.com
sup-018,Digital Distributors,Stephanie White,stephanie@digitaldistributors.com
sup-019,Hardware Hub,Kevin Harris,kevin@hardwarehub.com
sup-020,Electronic Empire,Nicole Clark,nicole@electronicempire.com
